timestamp,unique_id,status,image_name
2026-03-04 13:49:18,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_001.jpg
2026-03-04 13:49:23,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_002.jpg
2026-03-04 13:49:25,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_003.jpg
2026-03-04 13:49:26,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_004.jpg
2026-03-04 13:49:34,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_005.jpg
2026-03-04 13:49:36,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_006.jpg
2026-03-04 13:49:37,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_007.jpg
2026-03-04 13:49:38,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_008.jpg
2026-03-04 13:49:40,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_009.jpg
2026-03-04 13:49:43,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_010.jpg
2026-03-04 13:49:45,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_011.jpg
2026-03-04 13:49:47,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_012.jpg
2026-03-04 13:49:48,UID_20260304134918_B1018B,STAY,UID_20260304134918_B1018B_013.jpg
2026-03-04 13:49:50,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_014.jpg
2026-03-04 13:49:51,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_015.jpg
2026-03-04 13:49:52,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_016.jpg
2026-03-04 13:49:53,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_017.jpg
2026-03-04 13:49:55,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_018.jpg
2026-03-04 13:49:56,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_019.jpg
2026-03-04 13:49:58,UID_20260304134918_B1018B,MOVING,UID_20260304134918_B1018B_020.jpg
