timestamp,unique_id,status,image_name
2026-03-04 13:54:26,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_001.jpg
2026-03-04 13:54:31,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_002.jpg
2026-03-04 13:54:59,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_003.jpg
2026-03-04 13:55:07,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_004.jpg
2026-03-04 13:55:18,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_005.jpg
2026-03-04 13:55:19,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_006.jpg
2026-03-04 13:55:21,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_007.jpg
2026-03-04 13:55:22,UID_20260304135404_76528D,MOVING,UID_20260304135404_76528D_008.jpg
2026-03-04 13:55:30,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_009.jpg
2026-03-04 13:55:38,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_010.jpg
2026-03-04 13:55:40,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_011.jpg
2026-03-04 13:55:44,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_012.jpg
2026-03-04 13:55:45,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_013.jpg
2026-03-04 13:55:46,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_014.jpg
2026-03-04 13:55:57,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_015.jpg
2026-03-04 13:56:15,UID_20260304135404_76528D,STAY,UID_20260304135404_76528D_016.jpg
